lokacija,nadmorska_visina,vrsta_lokacije,latitude,longitude,senzor,vrsta_mjerenja,temperatura,datum,vrijeme,datum_vrijeme
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,18.00,2025-10-23,02:23:53,2025-10-23 02:23:53
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.62,2025-10-23,03:00:00,2025-10-23 03:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,19.50,2025-10-23,03:39:01,2025-10-23 03:39:01
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,21.00,2025-10-23,03:41:59,2025-10-23 03:41:59
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.52,2025-10-23,04:00:00,2025-10-23 04:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,22.20,2025-10-23,04:41:27,2025-10-23 04:41:27
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.51,2025-10-23,05:00:00,2025-10-23 05:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,22.00,2025-10-23,05:40:50,2025-10-23 05:40:50
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.50,2025-10-23,06:00:00,2025-10-23 06:00:00
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.50,2025-10-23,07:00:00,2025-10-23 07:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,22.20,2025-10-23,07:39:40,2025-10-23 07:39:40
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,20.70,2025-10-23,08:11:55,2025-10-23 08:11:55
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.48,2025-10-23,09:00:00,2025-10-23 09:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,19.70,2025-10-23,09:11:19,2025-10-23 09:11:19
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.88,2025-10-23,10:00:00,2025-10-23 10:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,20.20,2025-10-23,10:50:25,2025-10-23 10:50:25
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,22.00,2025-10-23,11:00:00,2025-10-23 11:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,21.00,2025-10-23,11:27:47,2025-10-23 11:27:47
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,22.08,2025-10-23,12:00:00,2025-10-23 12:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,22.50,2025-10-23,12:09:52,2025-10-23 12:09:52
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,22.00,2025-10-23,12:55:38,2025-10-23 12:55:38
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.96,2025-10-23,13:00:00,2025-10-23 13:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,21.50,2025-10-23,13:36:47,2025-10-23 13:36:47
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,22.00,2025-10-23,14:00:00,2025-10-23 14:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,21.00,2025-10-23,14:44:57,2025-10-23 14:44:57
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.94,2025-10-23,15:00:00,2025-10-23 15:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,20.70,2025-10-23,15:43:48,2025-10-23 15:43:48
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,22.02,2025-10-23,16:00:00,2025-10-23 16:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,20.20,2025-10-23,16:41:24,2025-10-23 16:41:24
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,22.17,2025-10-23,17:00:00,2025-10-23 17:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,20.00,2025-10-23,17:47:11,2025-10-23 17:47:11
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,22.10,2025-10-23,18:00:00,2025-10-23 18:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,19.00,2025-10-23,18:46:14,2025-10-23 18:46:14
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,22.10,2025-10-23,19:00:00,2025-10-23 19:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,17.50,2025-10-23,19:41:35,2025-10-23 19:41:35
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,22.02,2025-10-23,20:00:00,2025-10-23 20:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,17.20,2025-10-23,20:40:09,2025-10-23 20:40:09
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.96,2025-10-23,21:00:00,2025-10-23 21:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,15.70,2025-10-23,21:21:01,2025-10-23 21:21:01
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,14.20,2025-10-23,21:46:41,2025-10-23 21:46:41
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.78,2025-10-23,22:00:00,2025-10-23 22:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,13.50,2025-10-23,22:11:16,2025-10-23 22:11:16
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.80,2025-10-23,23:00:00,2025-10-23 23:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,13.00,2025-10-23,23:08:18,2025-10-23 23:08:18
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,12.50,2025-10-23,23:43:08,2025-10-23 23:43:08
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.77,2025-10-24,00:00:00,2025-10-24 00:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,11.50,2025-10-24,00:27:33,2025-10-24 00:27:33
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.77,2025-10-24,01:00:00,2025-10-24 01:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,12.00,2025-10-24,01:26:07,2025-10-24 01:26:07
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.78,2025-10-24,02:00:00,2025-10-24 02:00:00
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.78,2025-10-24,03:00:00,2025-10-24 03:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,11.70,2025-10-24,03:24:43,2025-10-24 03:24:43
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.76,2025-10-24,04:00:00,2025-10-24 04:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,12.50,2025-10-24,04:24:08,2025-10-24 04:24:08
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.76,2025-10-24,05:00:00,2025-10-24 05:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,12.00,2025-10-24,05:23:19,2025-10-24 05:23:19
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.74,2025-10-24,06:00:00,2025-10-24 06:00:00
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.74,2025-10-24,07:00:00,2025-10-24 07:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,12.50,2025-10-24,07:21:57,2025-10-24 07:21:57
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.76,2025-10-24,08:00:00,2025-10-24 08:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,14.00,2025-10-24,08:18:51,2025-10-24 08:18:51
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,14.70,2025-10-24,08:53:04,2025-10-24 08:53:04
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.80,2025-10-24,09:00:00,2025-10-24 09:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,15.00,2025-10-24,09:02:07,2025-10-24 09:02:07
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,16.50,2025-10-24,09:38:34,2025-10-24 09:38:34
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.74,2025-10-24,10:00:00,2025-10-24 10:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,17.00,2025-10-24,10:35:50,2025-10-24 10:35:50
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.80,2025-10-24,11:00:00,2025-10-24 11:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,18.50,2025-10-24,11:19:48,2025-10-24 11:19:48
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,17.00,2025-10-24,11:51:16,2025-10-24 11:51:16
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.80,2025-10-24,12:00:00,2025-10-24 12:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,16.00,2025-10-24,12:50:46,2025-10-24 12:50:46
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.93,2025-10-24,13:00:00,2025-10-24 13:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,16.20,2025-10-24,13:37:07,2025-10-24 13:37:07
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,22.25,2025-10-24,14:00:00,2025-10-24 14:00:00
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,22.28,2025-10-24,15:00:00,2025-10-24 15:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,15.70,2025-10-24,15:35:53,2025-10-24 15:35:53
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,22.30,2025-10-24,16:00:00,2025-10-24 16:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,15.20,2025-10-24,16:05:49,2025-10-24 16:05:49
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,16.70,2025-10-24,16:15:08,2025-10-24 16:15:08
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,22.28,2025-10-24,17:00:00,2025-10-24 17:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,15.50,2025-10-24,17:07:40,2025-10-24 17:07:40
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,15.50,2025-10-24,17:13:08,2025-10-24 17:13:08
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,15.50,2025-10-24,17:42:17,2025-10-24 17:42:17
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,22.30,2025-10-24,18:00:00,2025-10-24 18:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,15.20,2025-10-24,18:07:07,2025-10-24 18:07:07
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,22.28,2025-10-24,19:00:00,2025-10-24 19:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,15.50,2025-10-24,19:06:34,2025-10-24 19:06:34
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,15.50,2025-10-24,19:30:59,2025-10-24 19:30:59
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,14.70,2025-10-24,19:56:36,2025-10-24 19:56:36
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,22.34,2025-10-24,20:00:00,2025-10-24 20:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,13.70,2025-10-24,20:54:32,2025-10-24 20:54:32
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,22.34,2025-10-24,21:00:00,2025-10-24 21:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,13.00,2025-10-24,21:53:24,2025-10-24 21:53:24
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,22.34,2025-10-24,22:00:00,2025-10-24 22:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,11.70,2025-10-24,22:52:46,2025-10-24 22:52:46
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,22.26,2025-10-24,23:00:00,2025-10-24 23:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,11.50,2025-10-24,23:52:25,2025-10-24 23:52:25
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,22.32,2025-10-25,00:00:00,2025-10-25 00:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,11.70,2025-10-25,00:44:04,2025-10-25 00:44:04
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,22.28,2025-10-25,01:00:00,2025-10-25 01:00:00
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,22.30,2025-10-25,02:00:00,2025-10-25 02:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,12.00,2025-10-25,02:42:14,2025-10-25 02:42:14
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,11.50,2025-10-25,04:14:10,2025-10-25 04:14:10
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,11.20,2025-10-25,05:13:28,2025-10-25 05:13:28
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,12.00,2025-10-25,06:12:44,2025-10-25 06:12:44
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,12.20,2025-10-25,07:12:01,2025-10-25 07:12:01
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,13.00,2025-10-25,08:11:17,2025-10-25 08:11:17
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,13.50,2025-10-25,09:10:34,2025-10-25 09:10:34
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,13.70,2025-10-25,10:10:05,2025-10-25 10:10:05
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,12.50,2025-10-25,11:09:16,2025-10-25 11:09:16
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.68,2025-10-25,12:00:00,2025-10-25 12:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,14.00,2025-10-25,12:08:32,2025-10-25 12:08:32
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.58,2025-10-25,13:00:00,2025-10-25 13:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,15.50,2025-10-25,13:06:39,2025-10-25 13:06:39
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.62,2025-10-25,14:00:00,2025-10-25 14:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,15.20,2025-10-25,14:06:06,2025-10-25 14:06:06
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,16.70,2025-10-25,14:36:58,2025-10-25 14:36:58
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.59,2025-10-25,15:00:00,2025-10-25 15:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,15.20,2025-10-25,15:20:50,2025-10-25 15:20:50
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,14.00,2025-10-25,15:54:21,2025-10-25 15:54:21
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,22.02,2025-10-25,16:00:00,2025-10-25 16:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,13.70,2025-10-25,16:05:55,2025-10-25 16:05:55
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,22.20,2025-10-25,17:00:00,2025-10-25 17:00:00
